track_id,track_name,track_artist,track_preview,mp3_file,MFCC_Vector
3GWUv0TDO5E3cHfsxYeptt,TOMMY & PAMELA,"Peso Pluma, Kenia OS",https://p.scdn.co/mp3-preview/6ebaa7e7801d8411d3a33700116be1bbd99144ae?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Narcan_Arcángel.mp3,"[-2.3293163e+01  7.9921539e+01  1.7094875e+01  5.8263330e+00
  1.8600800e+00 -5.5416164e+00  4.6561719e-03  5.1471634e+00
 -6.3741779e+00  7.7168670e+00 -2.1954110e+00  3.6810536e+00
  9.8702747e-01  1.5784914e+00 -3.4809279e+00  8.8293040e-01
 -3.5635095e+00 -7.1504915e-01 -2.8116920e+00  7.6156580e-01]"
5jFA0f4ZDGLbQP4nxzL8D4,HAY LUPITA,Lomiiel,https://p.scdn.co/mp3-preview/6812be2d3d1ea0b3cbfd22deb54f1c1c6951440d?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Cerveza_CorazonSerrano.mp3,"[-42.17807     80.28757     -6.746138    23.884954     1.0580393
  -5.6004434   10.5462055    2.4334438    1.2931957   10.329866
  -7.142804     3.972594     1.3124061   -2.0936072   -1.9998109
  10.6585045    0.5709491    8.706814     0.27039966   5.8054366 ]"
5xSt1wxZobFcLzHrFakv6z,COSAS QUE NO TE DIJE,SAIKO,https://p.scdn.co/mp3-preview/060e51689a399da0292b107cc68847ea3e4f7d23?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_EnemigosOcultos_OzunaWisinMykeTowersArcángelJuankaCosculluela.mp3,"[ -4.9509687   73.233116     0.81220293  19.112677   -10.890074
   7.873709     4.0291557    0.6994378    3.5067973    9.293508
  -0.903909    11.480284     2.1957855    5.198461    -2.863699
   3.1102333   -5.2728233   -3.7511399    1.1303806    3.9851975 ]"
5lCMDnVpGTuFC7YejgpTIF,WYA,"J Abdiel, iZaak",https://p.scdn.co/mp3-preview/fbae1025038b61417208fe8d9b17c4d5eb18b545?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ElBolero_YamiSafdieMiloj.mp3,"[-154.63892     121.57149      24.60798      17.593204      1.4347502
    8.664724     -2.886392      7.539241    -16.566782      0.52205956
   -5.4556193    -8.857951      3.9425063   -12.980593     -0.56539214
   -4.8076334    -9.395976     -2.4902282    -5.40211      -4.5373135 ]"
5pVJ3IlnpIorU44oXizzG5,Orion,"Boza, ELENA ROSE",https://p.scdn.co/mp3-preview/300bd17aa48144ead47d3c29cbcdbf6ba98beead?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_BrindoConAgua_Aventura.mp3,"[-72.01892     87.83907      5.6661663   15.455777     6.0587397
  -1.5796375   -8.707839     7.464963   -13.938164     6.0287924
  -8.646519    -0.8381716   -0.88353634   0.7946613   -5.6954384
   2.0245125   -6.86401      2.678337    -2.3248227    4.8618636 ]"
0TUW9faHNaBmi89wsYGp9y,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",https://p.scdn.co/mp3-preview/ccd8e8036aad50ed307d43ab5c193536938a98d4?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_LaTóxica_Farruko.mp3,"[-34.213173    72.64144    -30.992474     7.3169847  -16.288425
   7.49254     -7.705242     1.6546265    0.31605357  -0.5862401
   4.500227     5.0550947   -0.7947528    5.7579255   -1.953009
   4.658801    -9.013287     1.9957116   -5.5162024    2.3163025 ]"
2rnvFmtBu8L32HcFXgBf9F,"La Paso Cabrón (feat. Gigolo y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)","Trap Capos, Noriel, Gigolo Y La Exce, Sammy & Falsetto, Mike Duran, Baby Angel",https://p.scdn.co/mp3-preview/79c01c1e5c588b526bfce81158a65d07f9c3f627?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_NuncaMeAmo_JonZBabyRastaBoyWonderCF.mp3,"[-29.204157   95.606186    4.3604965  16.954361    3.6198888   3.7064521
  -3.3088024   5.596044   -4.779513    5.377241    2.3887086   8.312115
   0.3809288   1.7268445   2.3736691  -2.934569   -7.7048903   1.2907957
  -7.9323454   1.9691279]"
6d3q0F9VNtdxQUTVlRcet6,Querer Querernos,Canserbero,https://p.scdn.co/mp3-preview/7a46b5c7eb57a93c6fb578e56dad83d7b3ae9b6f?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_80s_JosueAlaniz.mp3,"[-5.71716690e+01  1.19250626e+02 -2.33722115e+00  1.69121761e+01
  1.45748463e+01  7.96943569e+00  1.46992755e+00  7.29254708e-02
  3.05302501e+00  2.81322932e+00 -3.62267041e+00  7.42840481e+00
 -9.44366932e+00  4.41632271e+00  2.51641607e+00  6.57732114e-02
  9.98643517e-01  1.86649489e+00 -6.03690922e-01  1.26049364e+00]"
5kCoykriGdZhWMlm9vrtQI,Toda - Remix,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",https://p.scdn.co/mp3-preview/51d496e8d53059179863411b06ed2431ca2be92a?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Adiós_GustavoCerati.mp3,"[  2.1372209 110.98965   -25.921177   30.800089    4.9676194   7.777672
  -1.1542251  13.95759    -3.4741127   3.9516132  -5.534791    1.2914073
  -3.027551   -0.824622   -4.0584135   1.4497236  -4.858358   -1.0764103
  -1.4003617   1.7225403]"
5XOz9c4Enw0fzyIFZRHds8,TRANKY FUNKY,Trueno,https://p.scdn.co/mp3-preview/143fe8a8c42c274a3eee7623aba12fe240e9c6fb?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_SevenfeatLattoExplicitVer_JungKookLatto.mp3,"[-12.69344    59.87483    -3.4114385   5.3082166  -5.2517686  -2.0712843
  -6.897363   -3.8066127  -6.490618   -4.204489  -10.009267   -2.1839104
  -9.35851    -1.1651419  -4.6452227  -6.466367   -6.3855085  -1.33971
  -9.355766   -2.2105792]"
