track_id,track_name,track_artist,track_preview
0ADkl2GoQ2JnoFV7PfZL0n,Narcan,Arcángel,https://p.scdn.co/mp3-preview/06f3082c72bbc91a75279117e8dc462478e3688f?cid=42af1dc139184fc09475bdf54c5029cf
33ek6CHUmrNH33hfYlUl7B,Cerveza,Corazon Serrano,https://p.scdn.co/mp3-preview/6fd4e1eb51f671ffd807ba36c52fe25bc23464eb?cid=42af1dc139184fc09475bdf54c5029cf
3fhOpwaKobrELFjKLcXHgI,Enemigos Ocultos,"Ozuna, Wisin, Myke Towers, Arcángel, Juanka, Cosculluela",https://p.scdn.co/mp3-preview/bcd4f88612d5a0bbeed1902a78e75b58a7e92781?cid=42af1dc139184fc09475bdf54c5029cf
7FwSZyO5ynlN0OJGVOjE6k,El Bolero,"Yami Safdie, Milo j",https://p.scdn.co/mp3-preview/d267a7fd196bcc7bf4adb7e0b6d5909b41588e54?cid=42af1dc139184fc09475bdf54c5029cf
0VazBorrrrE0vlacDVRQCx,Brindo Con Agua,Aventura,https://p.scdn.co/mp3-preview/43aad6280491d7307c86fb781a99510d6e90c536?cid=42af1dc139184fc09475bdf54c5029cf
15OjBeqNX3bShsGYQbteRv,La Tóxica,Farruko,https://p.scdn.co/mp3-preview/1cfaf0578a0adcbeecb37884724c51a4e92a032b?cid=42af1dc139184fc09475bdf54c5029cf
60PBNJm2fk3TnhZU3Ltida,Nunca Me Amo,"Jon Z, Baby Rasta, Boy Wonder CF",https://p.scdn.co/mp3-preview/7f9805d0a62d507935aa4c7e67abfd524537d80a?cid=42af1dc139184fc09475bdf54c5029cf
1SzFUihB1muYUkQOb41fbx,80's,Josue Alaniz,https://p.scdn.co/mp3-preview/d18d39e048b6f3634704e5fb582ada352b05b7ef?cid=42af1dc139184fc09475bdf54c5029cf
1rh4kDY9T4fHVDum8Foi5k,Adiós,Gustavo Cerati,https://p.scdn.co/mp3-preview/fed00157a9d385a8a3155105e2f300bb7a459410?cid=42af1dc139184fc09475bdf54c5029cf
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=42af1dc139184fc09475bdf54c5029cf
1qo2n9L8uzEW75f9nFzB88,Empty,Omar Apollo,https://p.scdn.co/mp3-preview/7af6787f93faf3988eac5e2d3157f27c09e22fc8?cid=42af1dc139184fc09475bdf54c5029cf
